Tamaño,Row Product Time microseconds,Column Product Time microseconds
110x110,13001,12031
210x210,87997,86028
310x310,291042,280032
410x410,709031,681038
510x510,1568000,1375037
610x610,2421006,2214992
710x710,3725020,3491030
810x810,5628024,5183029
910x910,8190028,7435029
1010x1010,13529030,12583034
1110x1110,15640029,14091997
1210x1210,21251998,18363997
1310x1310,28984030,25635034
1410x1410,39347030,34124998
1510x1510,56742029,49198032
1610x1610,65887030,57846029
1710x1710,84476030,72916029
1810x1810,100610028,87363028
1910x1910,119422029,103684003
